CoreTaxa
Ascomycota_Dothideomycetes_Pleosporales_Neopyrenochaetaceae_Neopyrenochaeta_annellidica
Ascomycota_Sordariomycetes_Glomerellales_Plectosphaerellaceae_Plectosphaerella_cucumerina
Ascomycota_Dothideomycetes_Pleosporales_Didymellaceae_Neoascochyta_desmazieri
Ascomycota_Dothideomycetes_Pleosporales
Ascomycota_Dothideomycetes_Capnodiales_Cladosporiaceae_Cladosporium_subuliforme
Ascomycota_Sordariomycetes_Magnaporthales_Magnaporthaceae_Pseudohalonectria_adversaria
